id;genero;id_classe;categoria;nome_categoria;peso_min;peso_max;idade_min;idade_max;descricao;ativo
81;MASCULINO;SUB 13;SUPERPESADO;SUB 13 MASCULINO SUPERPESADO (+73 kg);73.01;;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
82;FEMININO;SUB 13;SUPER LIGEIRO;SUB 13 FEMININO SUPER LIGEIRO (-32 kg);0.00;32.00;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
83;FEMININO;SUB 13;LIGEIRO;SUB 13 FEMININO LIGEIRO (-40 kg);35.01;40.00;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
84;FEMININO;SUB 13;MEIO LEVE;SUB 13 FEMININO MEIO LEVE (-45 kg);40.01;45.00;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
85;FEMININO;SUB 13;LEVE;SUB 13 FEMININO LEVE (-50 kg);45.01;50.00;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
86;FEMININO;SUB 13;MEIO-MÉDIO;SUB 13 FEMININO MEIO-MÉDIO (-55 kg);50.01;55.00;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
87;FEMININO;SUB 13;MÉDIO;SUB 13 FEMININO MÉDIO (-60 kg);55.01;60.00;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
88;FEMININO;SUB 13;MEIO PESADO;SUB 13 FEMININO MEIO PESADO (-66 kg);60.01;66.00;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
89;FEMININO;SUB 13;PESADO;SUB 13 FEMININO PESADO (-73 kg);66.01;73.00;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
90;FEMININO;SUB 13;SUPER PESADO;SUB 13 FEMININO SUPER PESADO (+63 kg);73.01;;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
91;MASCULINO;SUB 15;LIGEIRO;SUB 15 MASCULINO LIGEIRO (-40 kg);0.00;40.00;13;14;Atletas que completam 13 ou 14 anos no ano vigente. (Menores de 15 anos);1
92;MASCULINO;SUB 15;MEIO-LEVE;SUB 15 MASCULINO MEIO-LEVE (-45 kg);40.01;45.00;13;14;Atletas que completam 13 ou 14 anos no ano vigente. (Menores de 15 anos);1
93;MASCULINO;SUB 15;LEVE;SUB 15 MASCULINO LEVE (-50 kg);45.01;50.00;13;14;Atletas que completam 13 ou 14 anos no ano vigente. (Menores de 15 anos);1
